,filename,real_stars,simulated_stars
0,./images/procSPECU4.2023-05-07T01:48:54.800.fits,95,72
1,./images/procSp1524+2925-S001-R001-C433-I+z.fits,96,85
2,./images/procSPECU2.2025-03-09T06:34:57.580.fits,69,62
3,./images/procSPECU4.2021-05-20T07:36:03.380.fits,1684,1269
4,./images/procSPECU2.2019-07-09T01:16:59.010.fits,635,492
5,./images/procSPECU2.2025-08-13T08:58:03.630.fits,104,92
6,./images/procSPECU1.2025-06-27T00:17:23.420.fits,169,142
7,./images/procSp2029+5750-S001-R001-C324-I+z.fits,839,731
8,./images/procSPECU3.2025-08-13T08:01:02.000.fits,74,56
9,./images/procSPECU2.2025-09-03T07:24:55.870.fits,99,65
10,./images/procSPECU4.2024-12-07T02:58:24.000.fits,181,103
11,./images/procSPECU3.2024-11-22T00:34:07.890.fits,114,84
12,./images/procSPECU1.2024-09-25T02:03:09.960.fits,609,455
13,./images/procSPECU4.2025-01-14T02:49:14.000.fits,1916,1459
14,./images/procSPECU2.2025-09-10T01:55:46.900.fits,1903,1514
15,./images/procSPECU1.2023-03-27T08:21:13.560.fits,881,664
16,./images/procSp0354-1437-S001-R001-C306-I+z.fits,73,54
17,./images/procSp1357-1438-S001-R001-C131-I+z.fits,117,93
18,./images/procSPECU2.2025-06-07T01:25:01.730.fits,1990,1606
19,./images/procSPECU4.2024-10-23T02:14:50.000.fits,51,37
20,./images/procSPECU2.2025-07-17T07:15:34.940.fits,292,214
21,./images/procSPECU2.2025-08-08T01:55:06.830.fits,2402,2166
22,./images/procSp1256-1257-S001-R001-C317-I+z.fits,69,63
23,./images/procSPECU1.2025-08-05T01:56:10.730.fits,999,713
24,./images/procSPECU2.2024-12-22T02:20:05.950.fits,151,123
25,./images/procSPECU1.2022-03-13T00:54:28.090.fits,255,187
26,./images/procSPECU1.2025-09-05T01:34:19.550.fits,1929,1529
27,./images/procSPECU3.2025-01-20T03:40:43.580.fits,227,185
28,./images/procSp1835+3259-S001-R001-C259-I+z.fits,834,669
29,./images/procSp0319-3703-S001-R001-C338-I+z.fits,113,44
30,./images/procSPECU1.2018-12-22T04:00:15.520.fits,1291,615
31,./images/procSp1201-2737-S001-R001-C133-I+z.fits,166,123
32,./images/procSPECU2.2023-06-20T05:47:30.680.fits,1109,834
33,./images/procSPECU3.2023-08-21T07:36:19.890.fits,74,48
34,./images/procSPECU2.2020-11-19T02:15:32.090.fits,129,88
35,./images/procSPECU4.2021-05-31T07:38:59.300.fits,272,192
36,./images/procSp0214-0357-S001-R001-C536-I+z.fits,50,38
37,./images/procSPECU1.2024-06-29T07:07:08.960.fits,91,71
38,./images/procSp1501+2250-S001-R001-C161-I+z.fits,69,66
39,./images/procSPECU3.2025-04-01T00:59:14.000.fits,112,82
40,./images/procSPECU2.2025-09-20T00:35:05.330.fits,226,191
41,./images/procSPECU3.2025-06-08T02:28:00.000.fits,3530,2307
42,./images/procSPECU2.2022-12-30T02:21:00.120.fits,129,90
43,./images/procSp0602+3910-S001-R001-C164-I+z.fits,837,713
44,./images/procSPECU2.2024-10-16T01:53:27.240.fits,113,88
45,./images/procSPECU3.2019-08-08T04:36:51.120.fits,164,112
46,./images/procSPECU4.2021-06-09T01:38:37.270.fits,1493,915
47,./images/procSPECU3.2024-11-08T01:12:55.790.fits,68,55
48,./images/procSPECU1.2019-06-30T00:36:08.330.fits,529,377
49,./images/procSPECU2.2022-03-14T06:53:25.800.fits,296,220
50,./images/procSp0644+7206-S001-R001-C053-I+z.fits,65,71
51,./images/procSPECU3.2021-09-05T01:52:21.010.fits,211,158
52,./images/procSp1456-2809-S001-R001-C079-I+z.fits,317,282
53,./images/procSPECU4.2019-03-19T01:57:35.360.fits,533,397
54,./images/procSp1130+4848-S001-R001-C108-I+z.fits,87,65
55,./images/procSPECU3.2025-04-14T02:42:26.000.fits,753,535
56,./images/procSPECU2.2025-09-28T05:40:46.660.fits,67,57
57,./images/procSPECU1.2025-04-08T02:23:19.790.fits,93,71
58,./images/procSPECU2.2023-08-28T07:46:20.910.fits,94,77
59,./images/procSPECU4.2024-08-16T01:45:04.000.fits,1730,1241
60,./images/procSPECU2.2025-09-12T08:30:39.610.fits,134,81
61,./images/procSp1839+2952-S001-R001-C351-I+z.fits,1160,842
62,./images/procSPECU2.2024-12-22T07:21:32.080.fits,333,272
63,./images/procSPECU1.2025-07-10T01:32:47.050.fits,217,195
64,./images/procSPECU3.2021-06-12T09:26:19.000.fits,71,48
65,./images/procSPECU2.2022-08-11T06:55:12.350.fits,114,70
66,./images/procSPECU4.2024-03-04T00:57:27.000.fits,280,151
67,./images/procSPECU4.2019-08-21T07:16:31.770.fits,167,70
68,./images/procSPECU1.2021-05-14T01:40:34.700.fits,4168,3448
69,./images/procSp1430+5943-S001-R001-C315-I+z.fits,44,35
70,./images/procSPECU3.2019-07-06T06:13:22.600.fits,443,342
71,./images/procSPECU3.2022-04-02T02:00:01.980.fits,3008,2179
72,./images/procSPECU2.2019-05-05T01:53:00.680.fits,1637,1254
73,./images/procSPECU2.2022-03-09T02:15:29.740.fits,301,189
74,./images/procSPECU3.2023-06-01T07:38:40.760.fits,417,312
75,./images/procSPECU3.2023-04-12T01:54:17.590.fits,117,96
76,./images/procSPECU3.2023-05-24T08:16:32.470.fits,286,233
77,./images/procSPECU3.2024-10-23T00:53:05.560.fits,87,64
78,./images/procSp1739+5532-S001-R001-C323-I+z.fits,180,141
79,./images/procSPECU2.2020-01-12T06:59:36.730.fits,100,78
80,./images/procSPECU1.2023-09-27T23:55:28.010.fits,145,94
81,./images/procSPECU3.2024-06-19T03:15:58.390.fits,3907,2828
82,./images/procUCDTS-121-S001-R001-C420-I+z.fits,2559,1565
83,./images/procSPECU3.2025-05-30T01:41:00.000.fits,253,180
84,./images/procSPECU4.2024-11-25T02:39:26.000.fits,178,117
85,./images/procSPECU2.2025-09-18T06:55:10.740.fits,317,244
86,./images/procSPECU4.2019-09-30T02:00:52.700.fits,146,88
87,./images/procSPECU4.2023-09-26T01:52:53.020.fits,98,73
88,./images/procSPECU2.2025-07-26T01:54:15.010.fits,6739,5547
89,./images/procSPECU2.2025-09-23T02:15:25.740.fits,2725,2329
90,./images/procSPECU4.2020-03-13T07:00:15.550.fits,3676,3026
91,./images/procSPECU1.2021-11-28T05:29:33.750.fits,119,90
92,./images/procSPECU3.2021-05-24T07:37:53.110.fits,575,403
93,./images/procSPECU3.2021-01-19T05:23:35.500.fits,90,76
94,./images/procSp0515+5911-S001-R001-C322-I+z.fits,283,235
95,./images/procSPECU3.2025-05-11T01:24:19.000.fits,1725,1315
96,./images/procSPECU3.2022-03-03T02:19:06.680.fits,698,533
97,./images/procSPECU1.2025-08-31T07:47:28.190.fits,88,72
98,./images/procSPECU2.2024-09-22T01:47:54.050.fits,299,216
99,./images/procSPECU3.2025-02-06T03:44:45.130.fits,216,176
100,./images/procEB_0350-S001-R001-C049-I+z_dupe-1.fits,266,205
101,./images/procSPECU3.2020-01-09T02:38:40.520.fits,121,77
102,./images/procSPECU1.2025-08-29T01:54:18.100.fits,390,294
103,./images/procSPECU1.2024-11-12T06:49:12.990.fits,209,180
104,./images/procSp1824-0536-S001-R001-C242-I+z.fits,1550,1232
105,./images/procSp0314+1603-S001-R001-C061-I+z.fits,121,79
106,./images/procTOI-1806.01-S001-R001-C249-I+z.fits,38,31
107,./images/procTOI-5688.01-S001-R001-C078-I+z.fits,263,202
108,./images/procSPECU1.2020-01-01T02:36:33.720.fits,113,90
109,./images/procSPECU1.2025-04-13T01:42:30.100.fits,53,48
110,./images/procTOI-2096.01-S001-R001-C175-I+z.fits,94,77
111,./images/procSPECU4.2020-01-05T02:51:03.880.fits,4392,3468
112,./images/procSPECU1.2023-05-16T01:40:08.550.fits,405,336
113,./images/procSPECU3.2023-03-12T01:55:17.470.fits,398,293
114,./images/procSPECU4.2020-03-20T02:18:31.640.fits,1242,944
115,./images/procSPECU1.2022-10-14T08:37:41.040.fits,43,40
116,./images/procSPECU3.2025-05-05T07:44:28.000.fits,1662,1185
117,./images/procSp1037+3011-S001-R001-C108-I+z.fits,67,48
118,./images/procSPECU3.2025-03-18T01:54:13.000.fits,72,71
119,./images/procTOI-2084.01-S001-R001-C247-I+z.fits,160,111
120,./images/procSPECU3.2025-05-01T01:25:41.000.fits,47,37
121,./images/procSPECU4.2023-10-02T01:53:34.400.fits,108,73
122,./images/procSPECU1.2019-05-30T01:26:14.620.fits,1927,1386
123,./images/procSPECU4.2025-02-10T02:08:11.000.fits,121,95
124,./images/procSPECU2.2023-07-24T09:35:35.700.fits,93,78
125,./images/procSPECU2.2023-05-25T01:29:17.820.fits,678,498
126,./images/procSPECU2.2022-12-05T01:56:00.010.fits,61,48
127,./images/procSPECU4.2025-01-25T02:32:55.000.fits,215,188
128,./images/procSp2228-1325-S001-R001-C104-I+z.fits,99,68
129,./images/procSPECU3.2019-12-16T02:29:48.320.fits,88,64
130,./images/procSPECU3.2025-01-25T02:21:40.270.fits,183,154
131,./images/procSPECU4.2024-07-26T07:51:28.000.fits,168,112
132,./images/procSp0848-2019-S001-R001-C222-I+z.fits,500,370
133,./images/procSPECU3.2021-06-21T06:31:54.870.fits,125,90
134,./images/procSPECU2.2025-08-04T01:01:04.990.fits,1978,1678
135,./images/procSPECU2.2025-09-27T01:54:05.010.fits,109,88
136,./images/procSPECU1.2025-08-29T05:58:25.990.fits,72,55
137,./images/procSPECU1.2024-10-25T04:11:29.120.fits,73,62
138,./images/procSPECU1.2021-12-09T04:09:36.360.fits,99,69
139,./images/procgj1132-S001-R001-C354-I+z.fits,1255,943
140,./images/procSPECU3.2024-11-25T02:12:32.240.fits,141,106
141,./images/procSPECU1.2024-12-18T03:38:44.800.fits,192,149
142,./images/procSPECU3.2019-07-09T01:16:18.820.fits,7556,5689
143,./images/procSPECU1.2025-07-29T02:09:25.980.fits,3696,3263
144,./images/procSPECU2.2025-07-09T01:52:09.840.fits,306,235
145,./images/procSPECU1.2024-12-01T02:03:16.000.fits,118,79
146,./images/procSPECU3.2024-07-04T01:44:32.210.fits,443,346
147,./images/procSPECU3.2025-02-02T02:49:08.750.fits,613,509
148,./images/procTOI-6492.001-S001-R001-C062-I+z.fits,108,106
149,./images/procSPECU2.2022-07-11T03:25:30.350.fits,1101,861
150,./images/procSPECU4.2024-09-04T01:12:32.000.fits,249,184
151,./images/procSPECU1.2021-10-06T07:55:23.910.fits,85,97
152,./images/procSp1626-3812-S001-R001-C283-I+z.fits,2218,1558
153,./images/procSp1616+0725-S001-R001-C254-I+z.fits,208,162
154,./images/procTOI-2096.01-S001-R001-C244-I+z.fits,71,67
155,./images/procSPECU2.2022-09-12T05:40:36.530.fits,46,38
156,./images/procSPECU1.2024-07-24T07:33:48.540.fits,74,76
157,./images/procTOI-1276-01-S001-R001-C133-I+z.fits,1398,1362
158,./images/procSPECU3.2025-06-02T01:03:03.000.fits,81,67
159,./images/procSPECU3.2025-02-19T07:30:11.050.fits,149,103
160,./images/procSPECU2.2023-04-19T01:34:41.960.fits,1835,1496
161,./images/procSPECU3.2024-10-01T02:00:26.560.fits,136,91
162,./images/procTOI-2453.01-S001-R001-C330-z.fits,265,308
163,./images/procSPECU4.2023-08-23T07:56:52.700.fits,99,65
164,./images/procSPECU4.2019-07-06T01:20:29.220.fits,5107,3935
165,./images/procSPECU3.2023-04-06T01:57:14.580.fits,456,332
166,./images/procSPECU3.2021-06-30T07:46:22.240.fits,98,81
167,./images/procSp0702-6102-S001-R001-C080-I+z.fits,276,238
168,./images/procSp1916+0509-S001-R001-C164-I+z.fits,6052,4378
169,./images/procSPECU4.2024-11-02T01:56:38.000.fits,80,53
170,./images/procSPECU3.2023-05-29T09:16:58.680.fits,543,389
171,./images/procSPECU2.2025-08-12T07:33:53.460.fits,200,141
172,./images/procSPECU4.2021-08-19T08:18:34.830.fits,134,112
173,./images/procSPECU3.2021-07-14T07:24:52.080.fits,70,64
174,./images/procSPECU4.2024-09-06T01:38:59.000.fits,1590,1151
175,./images/procSp0435-1606-S001-R001-C296-I+z.fits,49,38
176,./images/procSPECU3.2020-02-18T07:17:52.830.fits,802,591
177,./images/procTOI-5671.01-S001-R001-C145-I+z.fits,97,66
178,./images/procSPECU4.2024-11-12T02:13:30.000.fits,80,49
179,./images/procSPECU1.2022-04-29T00:51:33.990.fits,245,280
180,./images/procSPECU3.2022-01-05T02:30:24.270.fits,232,176
181,./images/procSPECU4.2021-05-18T01:38:42.800.fits,215,165
182,./images/procSp0804+6153-S001-R001-C043-I+z_dupe-1.fits,146,132
183,./images/procSPECU3.2025-03-23T01:50:29.000.fits,233,186
184,./images/procSPECU4.2018-10-24T01:18:42.550.fits,398,288
185,./images/procSPECU2.2025-09-02T07:27:48.150.fits,73,54
